1 -21.323
2 -28.499
3 -33.176
4 -36.830
5 -39.923
6 -42.661
7 -45.155
8 -47.470
9 -49.648
10 -51.718
11 -53.701
12 -55.612
13 -57.462
14 -59.261
15 -61.015
16 -62.731
17 -64.412
18 -66.064
19 -67.688
20 -69.289
21 -70.868
22 -72.427
23 -73.968
24 -75.493
25 -77.002
26 -78.498
27 -79.981
28 -81.452
29 -82.911
30 -84.361
31 -85.801
32 -87.231
33 -88.654
34 -90.068
35 -91.475
36 -92.874
37 -94.267
38 -95.654
39 -97.035
40 -98.410
41 -99.779
42 -101.143
43 -102.503
44 -103.857
45 -105.208
46 -106.554
47 -107.895
48 -109.233
49 -110.567
50 -111.898
51 -113.225
52 -114.548
53 -115.869
54 -117.186
55 -118.501
56 -119.812
57 -121.121
58 -122.427
59 -123.730
60 -125.031
61 -126.330
62 -127.626
63 -128.920
64 -130.212
65 -131.502
66 -132.789
67 -134.075
68 -135.359
69 -136.640
70 -137.920
71 -139.199
72 -140.475
73 -141.750
74 -143.023
75 -144.295
76 -145.565
77 -146.833
78 -148.100
79 -149.366
80 -150.630
81 -151.893
82 -153.155
83 -154.415
84 -155.674
85 -156.932
86 -158.188
87 -159.444
88 -160.698
89 -161.951
90 -163.203
91 -164.454
92 -165.704
93 -166.953
94 -168.201
95 -169.448
96 -170.694
97 -171.939
98 -173.183
99 -174.426
100 -175.668
