1 -20.168
2 -26.189
3 -29.711
4 -32.210
5 -34.148
6 -35.731
7 -37.070
8 -38.230
9 -39.253
10 -40.168
11 -40.996
12 -41.752
13 -42.447
14 -43.091
15 -43.690
16 -44.251
17 -44.777
18 -45.274
19 -45.743
20 -46.189
21 -46.613
22 -47.017
23 -47.403
24 -47.773
25 -48.127
26 -48.468
27 -48.796
28 -49.112
29 -49.416
30 -49.711
31 -49.996
32 -50.271
33 -50.539
34 -50.798
35 -51.050
36 -51.294
37 -51.532
38 -51.764
39 -51.990
40 -52.210
41 -52.424
42 -52.633
43 -52.838
44 -53.037
45 -53.233
46 -53.424
47 -53.610
48 -53.793
49 -53.972
50 -54.148
51 -54.320
52 -54.488
53 -54.654
54 -54.816
55 -54.976
56 -55.132
57 -55.286
58 -55.437
59 -55.585
60 -55.731
61 -55.875
62 -56.016
63 -56.155
64 -56.292
65 -56.427
66 -56.559
67 -56.690
68 -56.819
69 -56.945
70 -57.070
71 -57.194
72 -57.315
73 -57.435
74 -57.553
75 -57.670
76 -57.785
77 -57.898
78 -58.010
79 -58.121
80 -58.230
81 -58.338
82 -58.445
83 -58.550
84 -58.654
85 -58.757
86 -58.858
87 -58.959
88 -59.058
89 -59.156
90 -59.253
91 -59.349
92 -59.444
93 -59.538
94 -59.631
95 -59.723
96 -59.814
97 -59.904
98 -59.993
99 -60.081
100 -60.168
